# from Wikipedia https://en.wikipedia.org/wiki/Long_jump#Men_4
year, meters
1960, 8.21
1961, 8.28
1962, 8.31
1963, 8.20
1964, 8.34
1965, 8.35
1966, 8.23
1967, 8.35
1968, 8.90
1969, 8.21
1970, 8.35
1971, 8.21
1972, 8.23
1973, 8.24
1974, 8.30
1975, 8.45
1976, 8.35
1977, 8.27
1978, 8.32
1979, 8.52
1980, 8.54
1981, 8.62
1982, 8.76
1983, 8.79
1984, 8.79
1985, 8.62
1987, 8.86
1988, 8.76
1989, 8.70
1990, 8.66
1991, 8.95
1992, 8.68
1993, 8.70
1994, 8.74
1995, 8.71
1996, 8.58
1997, 8.63
1998, 8.60
1999, 8.62
2000, 8.62
2001, 8.43
2002, 8.59
2003, 8.53
2004, 8.60
2005, 8.60
2006, 8.56
2007, 8.66
2008, 8.73
2009, 8.74
2010, 8.47
2011, 8.54
2012, 8.35
2013, 8.56
2014, 8.51
2015, 8.52
