# from Wikipedia https://en.wikipedia.org/wiki/Long_jump#Women_5
year, meters
1960, 6.40
1961, 6.48
1962, 6.62
1963, 6.60
1964, 6.76
1965, 6.71
1966, 6.73
1967, 6.63
1968, 6.82
1969, 6.64
1970, 6.84
1971, 6.81
1972, 6.78
1973, 6.76
1974, 6.77
1975, 6.76
1976, 6.99
1977, 6.82
1978, 7.09
1979, 6.90
1980, 7.06
1981, 6.96
1982, 7.20
1983, 7.43
1984, 7.40
1985, 7.44
1986, 7.45
1987, 7.45
1988, 7.52
1989, 7.30
1990, 7.35
1991, 7.35
1992, 7.48
1993, 7.21
1994, 7.49
1995, 7.09
1996, 7.12
1997, 7.05
1998, 7.31
1999, 7.26
2000, 7.09
2001, 7.12
2002, 7.42
2003, 7.06
2004, 7.33
2005, 7.04
2006, 7.12
2007, 7.21
2008, 7.12
2009, 7.10
2010, 7.13
2011, 7.19
2012, 7.23
2013, 7.25
2014, 7.02
2015, 7.14
